class_id,class_label,support,baseline_precision,baseline_recall,baseline_f1,full_precision,full_recall,full_f1,delta_f1,baseline_main_confused_with,baseline_main_confusion_count,full_main_confused_with,full_main_confusion_count
95,095,123,0.8288288288288288,0.7479674796747967,0.7863247863247862,0.8017241379310345,0.7560975609756098,0.7782426778242678,-0.008082108500518381,73,3,73,3
145,145,131,0.8095238095238095,0.7786259541984732,0.7937743190661478,0.8015873015873016,0.7709923664122137,0.7859922178988326,-0.0077821011673152585,132,15,132,15
178,178,41,0.8478260869565217,0.9512195121951219,0.8965517241379309,0.9,0.8780487804878049,0.888888888888889,-0.007662835249041988,181,1,150,1
92,092,131,0.984375,0.9618320610687023,0.9729729729729729,0.9692307692307692,0.9618320610687023,0.9655172413793103,-0.00745573159366264,73,1,32,1
21,021,74,0.8533333333333334,0.8648648648648649,0.8590604026845637,0.8148148148148148,0.8918918918918919,0.8516129032258065,-0.007447499458757223,19,5,19,4
177,177,131,0.7872340425531915,0.8473282442748091,0.8161764705882353,0.7941176470588235,0.8244274809160306,0.8089887640449439,-0.007187706543291372,180,7,180,10
175,175,62,0.8923076923076924,0.9354838709677419,0.9133858267716536,0.8787878787878788,0.9354838709677419,0.90625,-0.007135826771653586,126,1,179,2
170,170,136,0.9246575342465754,0.9926470588235294,0.9574468085106385,0.9121621621621622,0.9926470588235294,0.9507042253521126,-0.006742583158525828,171,1,171,1
193,193,131,0.9523809523809523,0.916030534351145,0.933852140077821,0.9242424242424242,0.9312977099236641,0.9277566539923954,-0.00609548608542565,117,8,117,5
17,017,131,0.7969924812030075,0.8091603053435115,0.803030303030303,0.7851851851851852,0.8091603053435115,0.7969924812030075,-0.006037821827295509,15,17,15,15
52,052,113,0.856,0.9469026548672567,0.8991596638655461,0.860655737704918,0.9292035398230089,0.8936170212765957,-0.0055426425889504305,32,2,99,4
72,072,65,0.6615384615384615,0.6615384615384615,0.6615384615384615,0.6666666666666666,0.6461538461538462,0.65625,-0.00528846153846152,60,6,60,7
105,105,88,0.9130434782608695,0.9545454545454546,0.9333333333333332,0.9032258064516129,0.9545454545454546,0.9281767955801105,-0.0051565377532227785,60,1,6,1
34,034,106,0.9298245614035088,1.0,0.9636363636363636,0.9292035398230089,0.9905660377358491,0.9589041095890412,-0.004732254047322471,0,0,93,1
12,012,95,0.8695652173913043,0.8421052631578947,0.8556149732620322,0.8602150537634409,0.8421052631578947,0.8510638297872339,-0.004551143474798236,13,7,13,8
61,061,131,0.873015873015873,0.8396946564885496,0.8560311284046692,0.872,0.8320610687022901,0.8515625000000001,-0.004468628404669106,62,20,62,19
140,140,60,0.7142857142857143,0.75,0.7317073170731706,0.7213114754098361,0.7333333333333333,0.7272727272727273,-0.0044345898004433115,146,4,134,3
164,164,131,0.9090909090909091,0.916030534351145,0.9125475285171103,0.9083969465648855,0.9083969465648855,0.9083969465648855,-0.004150581952224841,159,7,159,8
127,127,120,0.9572649572649573,0.9333333333333333,0.9451476793248945,0.9491525423728814,0.9333333333333333,0.9411764705882353,-0.0039712087366592375,43,1,64,2
97,097,131,0.841726618705036,0.8931297709923665,0.8666666666666667,0.8163265306122449,0.916030534351145,0.8633093525179856,-0.003357314148681123,98,6,98,6
106,106,131,0.9375,0.916030534351145,0.9266409266409266,0.9172932330827067,0.9312977099236641,0.9242424242424241,-0.002398502398502478,112,9,112,6
54,054,131,0.8790322580645161,0.8320610687022901,0.8549019607843138,0.8661417322834646,0.8396946564885496,0.8527131782945735,-0.002188782489740304,82,3,82,3
56,056,99,0.8736842105263158,0.8383838383838383,0.8556701030927836,0.85,0.8585858585858586,0.8542713567839195,-0.0013987463088640517,58,6,58,6
143,143,131,0.7703703703703704,0.7938931297709924,0.7819548872180452,0.7608695652173914,0.8015267175572519,0.7806691449814127,-0.00128574223663247,144,19,144,21
28,028,131,0.7348484848484849,0.7404580152671756,0.7376425855513309,0.7480314960629921,0.7251908396946565,0.7364341085271318,-0.0012084770241991283,182,15,182,13
0,000,131,0.9044117647058824,0.9389312977099237,0.9213483146067415,0.9166666666666666,0.9236641221374046,0.9201520912547528,-0.0011962233519886567,1,6,1,7
118,118,131,0.9402985074626866,0.9618320610687023,0.9509433962264152,0.946969696969697,0.9541984732824428,0.9505703422053233,-0.0003730540210918898,114,3,114,4
122,122,71,0.9857142857142858,0.971830985915493,0.9787234042553192,1.0,0.9577464788732394,0.9784172661870503,-0.0003061380682689574,126,1,127,2
45,045,58,0.6724137931034483,0.6724137931034483,0.6724137931034483,0.6557377049180327,0.6896551724137931,0.6722689075630253,-0.00014488554042302315,19,14,19,14
