threshold,coverage,accuracy
0.9296482412060302,0.8612901685527384,0.9073622352810733
0.9346733668341709,0.8583775008356014,0.9087723201869055
0.9396984924623115,0.8544621114453517,0.9102542609667504
0.9447236180904522,0.8501169841951964,0.9121545720062907
0.949748743718593,0.8456286109917395,0.9137210615471485
0.9547738693467337,0.8414267296948861,0.914822381114516
0.9597989949748744,0.8371293510958315,0.9163244353182751
0.964824120603015,0.8313040156615575,0.9187248707639287
0.9698492462311558,0.8253831829250824,0.9208608122179799
0.9748743718592965,0.818029890655589,0.9231846836329676
0.9798994974874372,0.8100081172706871,0.9254303230370196
0.9849246231155779,0.7992169221219501,0.9293224997012786
0.9899497487437187,0.784796829489567,0.9334387928936481
0.9949748743718593,0.7603017714749558,0.9395214469635119
1.0,0.24604879912142483,0.9897147292839122
