,precision,recall,f1-score,support
099,0.8631578947368421,0.845360824742268,0.8541666666666666,97.0
100,0.8360655737704918,0.796875,0.816,64.0
101,0.956989247311828,0.9888888888888889,0.9726775956284154,90.0
102,0.6410256410256411,0.6410256410256411,0.6410256410256411,39.0
103,0.9253731343283582,0.8985507246376812,0.9117647058823529,69.0
104,0.8028169014084507,0.7702702702702703,0.7862068965517242,74.0
105,0.9032258064516129,0.9545454545454546,0.9281767955801105,88.0
106,0.9172932330827067,0.9312977099236641,0.9242424242424241,131.0
107,0.9097744360902256,0.9236641221374046,0.9166666666666667,131.0
108,0.8939393939393939,0.8676470588235294,0.8805970149253731,68.0
109,0.75,0.75,0.75,12.0
110,0.9444444444444444,0.9083969465648855,0.9260700389105058,131.0
111,0.9838709677419355,0.9838709677419355,0.9838709677419355,124.0
112,0.8515625,0.872,0.8616600790513834,125.0
113,0.9772727272727273,0.9847328244274809,0.9809885931558935,131.0
114,0.8560606060606061,0.8625954198473282,0.8593155893536122,131.0
115,0.8285714285714286,0.8285714285714286,0.8285714285714286,35.0
116,0.8611111111111112,0.8920863309352518,0.8763250883392226,139.0
117,0.7669902912621359,0.7821782178217822,0.7745098039215688,101.0
118,0.946969696969697,0.9541984732824428,0.9505703422053233,131.0
119,0.9655172413793104,0.9545454545454546,0.96,88.0
120,0.9545454545454546,0.9,0.9264705882352942,70.0
121,0.6451612903225806,0.7142857142857143,0.6779661016949152,28.0
122,1.0,0.9577464788732394,0.9784172661870503,71.0
123,0.957983193277311,0.8976377952755905,0.926829268292683,127.0
124,0.9736842105263158,0.8409090909090909,0.9024390243902439,44.0
125,0.8907563025210085,0.8091603053435115,0.848,131.0
126,0.900990099009901,0.875,0.8878048780487806,104.0
127,0.9491525423728814,0.9333333333333333,0.9411764705882353,120.0
128,0.9230769230769231,0.631578947368421,0.7499999999999999,19.0
129,0.8717948717948718,0.7555555555555555,0.8095238095238095,45.0
130,0.9071428571428571,0.9694656488549618,0.9372693726937269,131.0
131,0.922077922077922,0.9659863945578231,0.9435215946843853,147.0
132,0.8421052631578947,0.8549618320610687,0.8484848484848484,131.0
133,0.9333333333333333,0.9333333333333333,0.9333333333333333,45.0
134,0.549618320610687,0.549618320610687,0.549618320610687,131.0
135,0.6714285714285714,0.7175572519083969,0.6937269372693727,131.0
136,0.6818181818181818,0.7627118644067796,0.7199999999999999,59.0
137,0.890625,0.8702290076335878,0.8803088803088803,131.0
138,0.7547169811320755,0.6557377049180327,0.7017543859649122,61.0
139,0.7131782945736435,0.7022900763358778,0.7076923076923077,131.0
140,0.7213114754098361,0.7333333333333333,0.7272727272727273,60.0
141,0.94,0.9591836734693877,0.9494949494949495,98.0
142,0.8923076923076924,0.8854961832061069,0.888888888888889,131.0
143,0.7608695652173914,0.8015267175572519,0.7806691449814127,131.0
144,0.7419354838709677,0.7022900763358778,0.7215686274509803,131.0
145,0.8015873015873016,0.7709923664122137,0.7859922178988326,131.0
146,0.9523809523809523,0.916030534351145,0.933852140077821,131.0
147,0.9384615384615385,0.9312977099236641,0.9348659003831418,131.0
148,0.9545454545454546,0.9618320610687023,0.9581749049429659,131.0
149,0.7985611510791367,0.8473282442748091,0.8222222222222222,131.0
150,0.897196261682243,0.8888888888888888,0.8930232558139535,108.0
151,0.712,0.6793893129770993,0.6953125000000001,131.0
152,0.7297297297297297,0.8244274809160306,0.7741935483870968,131.0
