[CMD] python /food_data/xiaorong/R_KDAT/main.py --seed 42 --out-dir ablation_runs_seed42_serverA/kd_er/seed_42 --resume-ckpt  --train-dir /food_data/food_data/CNFOOD-241/CNFOOD-241/train600x600 --val-dir /food_data/food_data/CNFOOD-241/CNFOOD-241/val600x600 --batch-size 128 --num-workers 8 --pk-p 32 --pk-k 4 --amp-dtype fp16 --teacher-ckpt /food_data/RegNetY-32GF/exp_regnety32/best.pt --kd-use --no-arcface --triplet --no-strong-aug --no-channels-last --no-fused-adamw

CONFIG OK.
SEED = 42
OUT_DIR = ablation_runs_seed42_serverA/kd_er/seed_42
CWD = /food_data/xiaorong
PYTHONPATH head = ['/food_data/xiaorong/R_KDAT', '/opt/conda/lib/python38.zip', '/opt/conda/lib/python3.8']
CONFIG keys = ['train_dir', 'val_dir', 'class_file', 'num_classes', 'img_size']
CUDA: True  GPUs=2  Name=NVIDIA GeForce RTX 4090
[KD] Loading teacher from: /food_data/RegNetY-32GF/exp_regnety32/best.pt
[KD] remap keys: backbone.fc.* → head.*
[KD] teacher ready (eval, frozen).
[A100] amp_dtype=fp16  GradScaler=on
[TB] logdir: ablation_runs_seed42_serverA/kd_er/seed_42/runs/20260617-195405

Train E001:   0% 0/1335 [00:00<?, ?it/s]
Train E001:   3% 37/1335 [00:39<15:20,  1.41it/s, loss=2.5002, top1=8.59%, top5=18.85%, aug=none, lr=1.00e-04, KD=on, Arc=off, Trip=on]
Train E001:   3% 38/1335 [00:39<15:18,  1.41it/s, loss=2.5002, top1=8.59%, top5=18.85%, aug=none, lr=1.00e-04, KD=on, Arc=off, Trip=on]
Train E001:   3% 38/1335 [00:39<15:18,  1.41it/s, loss=2.4883, top1=9.07%, top5=19.59%, aug=none, lr=1.00e-04, KD=on, Arc=off, Trip=on]
Train E001:   3% 39/1335 [00:39<15:16,  1.41it/s, loss=2.4883, top1=9.07%, top5=19.59%, aug=none, lr=1.00e-04, KD=on, Arc=off, Trip=on]
Train E001:   3% 39/1335 [00:40<15:16,  1.41it/s, loss=2.4843, top1=9.10%, top5=19.75%, aug=none, lr=1.00e-04, KD=on, Arc=off, Trip=on]
Train E001:   3% 40/1335 [00:40<15:15,  1.41it/s, loss=2.4843, top1=9.10%, top5=19.75%, aug=none, lr=1.00e-04, KD=on, Arc=off, Trip=on]
Train E001:   3% 40/1335 [00:41<15:15,  1.41it/s, loss=2.4710, top1=9.57%, top5=20.73%, aug=none, lr=1.00e-04, KD=on, Arc=off, Trip=on]
Train E001:   3% 41/1335 [00:41<15:14,  1.42it/s, loss=2.4710, top1=9.57%, top5=20.73%, aug=none, lr=1.00e-04, KD=on, Arc=off, Trip=on]
Train E001:   3% 41/1335 [00:41<15:14,  1.42it/s, loss=2.4605, top1=9.99%, top5=21.45%, aug=none, lr=1.00e-04, KD=on, Arc=off, Trip=on]
Train E001:   3% 42/1335 [00:41<15:12,  1.42it/s, loss=2.4605, top1=9.99%, top5=21.45%, aug=none, lr=1.00e-04, KD=on, Arc=off, Trip=on]
Train E001:   3% 42/1335 [00:42<15:12,  1.42it/s, loss=2.4510, top1=10.28%, top5=22.11%, aug=none, lr=1.00e-04, KD=on, Arc=off, Trip=on]
Train E001:   3% 43/1335 [00:42<15:11,  1.42it/s, loss=2.4510, top1=10.28%, top5=22.11%, aug=none, lr=1.00e-04, KD=on, Arc=off, Trip=on]
Train E001:   3% 43/1335 [00:43<15:11,  1.42it/s, loss=2.4391, top1=10.69%, top5=22.92%, aug=none, lr=1.00e-04, KD=on, Arc=off, Trip=on]
Train E001:   3% 44/1335 [00:43<15:12,  1.41it/s, loss=2.4391, top1=10.69%, top5=22.92%, aug=none, lr=1.00e-04, KD=on, Arc=off, Trip=on]
Train E001:   3% 44/1335 [00:44<15:12,  1.41it/s, loss=2.4319, top1=10.95%, top5=23.40%, aug=none, lr=1.00e-04, KD=on, Arc=off, Trip=on]
Train E001:   3% 45/1335 [00:44<15:13,  1.41it/s, loss=2.4319, top1=10.95%, top5=23.40%, aug=none, lr=1.00e-04, KD=on, Arc=off, Trip=on]
Train E001:   3% 45/1335 [00:44<15:13,  1.41it/s, loss=2.4188, top1=11.53%, top5=24.25%, aug=none, lr=1.00e-04, KD=on, Arc=off, Trip=on]
Train E001:   3% 46/1335 [00:44<15:10,  1.41it/s, loss=2.4188, top1=11.53%, top5=24.25%, aug=none, lr=1.00e-04, KD=on, Arc=off, Trip=on]
Train E001:   3% 46/1335 [00:45<15:10,  1.41it/s, loss=2.4114, top1=11.74%, top5=24.90%, aug=none, lr=1.00e-04, KD=on, Arc=off, Trip=on]
Train E001:   4% 47/1335 [00:45<15:09,  1.42it/s, loss=2.4114, top1=11.74%, top5=24.90%, aug=none, lr=1.00e-04, KD=on, Arc=off, Trip=on]
Train E001:   4% 47/1335 [00:46<15:09,  1.42it/s, loss=2.4010, top1=12.16%, top5=25.67%, aug=none, lr=1.00e-04, KD=on, Arc=off, Trip=on]
Train E001:   4% 48/1335 [00:46<15:10,  1.41it/s, loss=2.4010, top1=12.16%, top5=25.67%, aug=none, lr=1.00e-04, KD=on, Arc=off, Trip=on]
Train E001:   4% 48/1335 [00:46<15:10,  1.41it/s, loss=2.3921, top1=12.53%, top5=26.39%, aug=none, lr=1.00e-04, KD=on, Arc=off, Trip=on]
Train E001:   4% 49/1335 [00:46<15:08,  1.42it/s, loss=2.3921, top1=12.53%, top5=26.39%, aug=none, lr=1.00e-04, KD=on, Arc=off, Trip=on]
Train E001:   4% 49/1335 [00:47<15:08,  1.42it/s, loss=2.3849, top1=12.80%, top5=26.91%, aug=none, lr=1.00e-04, KD=on, Arc=off, Trip=on]
Train E001:   4% 50/1335 [00:47<15:08,  1.42it/s, loss=2.3849, top1=12.80%, top5=26.91%, aug=none, lr=1.00e-04, KD=on, Arc=off, Trip=on]
Train E001:   4% 50/1335 [00:48<15:08,  1.42it/s, loss=2.3750, top1=13.19%, top5=27.60%, aug=none, lr=1.00e-04, KD=on, Arc=off, Trip=on]
Train E001:   4% 51/1335 [00:48<15:06,  1.42it/s, loss=2.3750, top1=13.19%, top5=27.60%, aug=none, lr=1.00e-04, KD=on, Arc=off, Trip=on]
