[CMD] python /food_data/xiaorong/R_KDAT/main.py --seed 42 --out-dir ablation_runs_seed42_serverA/kd_mbc/seed_42 --resume-ckpt  --train-dir /food_data/food_data/CNFOOD-241/CNFOOD-241/train600x600 --val-dir /food_data/food_data/CNFOOD-241/CNFOOD-241/val600x600 --batch-size 128 --num-workers 8 --pk-p 32 --pk-k 4 --amp-dtype fp16 --teacher-ckpt /food_data/RegNetY-32GF/exp_regnety32/best.pt --kd-use --arcface --no-triplet --no-strong-aug --no-channels-last --no-fused-adamw

CONFIG OK.
SEED = 42
OUT_DIR = ablation_runs_seed42_serverA/kd_mbc/seed_42
CWD = /food_data/xiaorong
PYTHONPATH head = ['/food_data/xiaorong/R_KDAT', '/opt/conda/lib/python38.zip', '/opt/conda/lib/python3.8']
CONFIG keys = ['train_dir', 'val_dir', 'class_file', 'num_classes', 'img_size']
CUDA: True  GPUs=2  Name=NVIDIA GeForce RTX 4090
[KD] Loading teacher from: /food_data/RegNetY-32GF/exp_regnety32/best.pt
[KD] remap keys: backbone.fc.* → head.*
[KD] teacher ready (eval, frozen).
[A100] amp_dtype=fp16  GradScaler=on
[TB] logdir: ablation_runs_seed42_serverA/kd_mbc/seed_42/runs/20260617-091718

Train E001:   0% 0/1335 [00:00<?, ?it/s]
Train E001:   4% 50/1335 [00:47<15:11,  1.41it/s, loss=6.4989, top1=0.00%, top5=0.00%, aug=none, lr=1.00e-04, KD=on, Arc=on, Trip=off]
Train E001:   4% 50/1335 [00:48<15:11,  1.41it/s, loss=6.4898, top1=0.00%, top5=0.00%, aug=none, lr=1.00e-04, KD=on, Arc=on, Trip=off]
Train E001:   4% 51/1335 [00:48<15:10,  1.41it/s, loss=6.4898, top1=0.00%, top5=0.00%, aug=none, lr=1.00e-04, KD=on, Arc=on, Trip=off]
Train E001:   4% 51/1335 [00:48<15:10,  1.41it/s, loss=6.4814, top1=0.00%, top5=0.00%, aug=none, lr=1.00e-04, KD=on, Arc=on, Trip=off]
Train E001:   4% 52/1335 [00:48<15:12,  1.41it/s, loss=6.4814, top1=0.00%, top5=0.00%, aug=none, lr=1.00e-04, KD=on, Arc=on, Trip=off]
Train E001:   4% 52/1335 [00:49<15:12,  1.41it/s, loss=6.4715, top1=0.00%, top5=0.00%, aug=none, lr=1.00e-04, KD=on, Arc=on, Trip=off]
Train E001:   4% 53/1335 [00:49<15:10,  1.41it/s, loss=6.4715, top1=0.00%, top5=0.00%, aug=none, lr=1.00e-04, KD=on, Arc=on, Trip=off]
Train E001:   4% 53/1335 [00:50<15:10,  1.41it/s, loss=6.4624, top1=0.00%, top5=0.00%, aug=none, lr=1.00e-04, KD=on, Arc=on, Trip=off]
Train E001:   4% 54/1335 [00:50<15:29,  1.38it/s, loss=6.4624, top1=0.00%, top5=0.00%, aug=none, lr=1.00e-04, KD=on, Arc=on, Trip=off]
Train E001:   4% 54/1335 [00:51<15:29,  1.38it/s, loss=6.4540, top1=0.00%, top5=0.00%, aug=none, lr=1.00e-04, KD=on, Arc=on, Trip=off]
Train E001:   4% 55/1335 [00:51<15:22,  1.39it/s, loss=6.4540, top1=0.00%, top5=0.00%, aug=none, lr=1.00e-04, KD=on, Arc=on, Trip=off]
Train E001:   4% 55/1335 [00:51<15:22,  1.39it/s, loss=6.4458, top1=0.00%, top5=0.00%, aug=none, lr=1.00e-04, KD=on, Arc=on, Trip=off]
Train E001:   4% 56/1335 [00:51<15:20,  1.39it/s, loss=6.4458, top1=0.00%, top5=0.00%, aug=none, lr=1.00e-04, KD=on, Arc=on, Trip=off]
Train E001:   4% 56/1335 [00:52<15:20,  1.39it/s, loss=6.4350, top1=0.01%, top5=0.01%, aug=none, lr=1.00e-04, KD=on, Arc=on, Trip=off]
Train E001:   4% 57/1335 [00:52<15:15,  1.40it/s, loss=6.4350, top1=0.01%, top5=0.01%, aug=none, lr=1.00e-04, KD=on, Arc=on, Trip=off]
Train E001:   4% 57/1335 [00:53<15:15,  1.40it/s, loss=6.4264, top1=0.01%, top5=0.01%, aug=none, lr=1.00e-04, KD=on, Arc=on, Trip=off]
Train E001:   4% 58/1335 [00:53<15:11,  1.40it/s, loss=6.4264, top1=0.01%, top5=0.01%, aug=none, lr=1.00e-04, KD=on, Arc=on, Trip=off]
Train E001:   4% 58/1335 [00:53<15:11,  1.40it/s, loss=6.4171, top1=0.01%, top5=0.01%, aug=none, lr=1.00e-04, KD=on, Arc=on, Trip=off]
Train E001:   4% 59/1335 [00:53<15:08,  1.40it/s, loss=6.4171, top1=0.01%, top5=0.01%, aug=none, lr=1.00e-04, KD=on, Arc=on, Trip=off]
Train E001:   4% 59/1335 [00:54<15:08,  1.40it/s, loss=6.4082, top1=0.01%, top5=0.01%, aug=none, lr=1.00e-04, KD=on, Arc=on, Trip=off]
Train E001:   4% 60/1335 [00:54<15:07,  1.40it/s, loss=6.4082, top1=0.01%, top5=0.01%, aug=none, lr=1.00e-04, KD=on, Arc=on, Trip=off]
Train E001:   4% 60/1335 [00:55<15:07,  1.40it/s, loss=6.3981, top1=0.01%, top5=0.01%, aug=none, lr=1.00e-04, KD=on, Arc=on, Trip=off]
Train E001:   5% 61/1335 [00:55<15:04,  1.41it/s, loss=6.3981, top1=0.01%, top5=0.01%, aug=none, lr=1.00e-04, KD=on, Arc=on, Trip=off]
Train E001:   5% 61/1335 [00:55<15:04,  1.41it/s, loss=6.3899, top1=0.01%, top5=0.01%, aug=none, lr=1.00e-04, KD=on, Arc=on, Trip=off]
Train E001:   5% 62/1335 [00:55<15:02,  1.41it/s, loss=6.3899, top1=0.01%, top5=0.01%, aug=none, lr=1.00e-04, KD=on, Arc=on, Trip=off]
Train E001:   5% 62/1335 [00:56<15:02,  1.41it/s, loss=6.3822, top1=0.01%, top5=0.01%, aug=none, lr=1.00e-04, KD=on, Arc=on, Trip=off]
Train E001:   5% 63/1335 [00:56<15:01,  1.41it/s, loss=6.3822, top1=0.01%, top5=0.01%, aug=none, lr=1.00e-04, KD=on, Arc=on, Trip=off]
Train E001:   5% 63/1335 [00:57<15:01,  1.41it/s, loss=6.3730, top1=0.01%, top5=0.01%, aug=none, lr=1.00e-04, KD=on, Arc=on, Trip=off]
Train E001:   5% 64/1335 [00:57<15:01,  1.41it/s, loss=6.3730, top1=0.01%, top5=0.01%, aug=none, lr=1.00e-04, KD=on, Arc=on, Trip=off]
Train E001:   5% 64/1335 [00:58<15:01,  1.41it/s, loss=6.3628, top1=0.01%, top5=0.01%, aug=none, lr=1.00e-04, KD=on, Arc=on, Trip=off]
